Generation,Max Fitness,Avg Fitness,Min Fitness,
142,0.98,0.8864999999999995,0.82,
143,0.98,0.8910999999999999,0.83,
144,0.98,0.8811999999999998,0.83,
145,0.98,0.8824000000000002,0.83,
146,0.98,0.8871999999999999,0.83,
147,0.98,0.8875999999999992,0.82,
148,0.98,0.8872999999999999,0.81,
149,0.98,0.8898999999999994,0.82,
150,0.98,0.8845000000000003,0.83,
151,0.98,0.8845999999999999,0.82,
152,0.98,0.8842999999999995,0.81,
153,0.99,0.8904999999999998,0.81,
154,0.99,0.8895999999999994,0.82,
155,0.99,0.8896999999999999,0.83,
156,0.99,0.8970999999999997,0.82,
157,0.99,0.8934999999999996,0.83,
158,0.99,0.8959999999999999,0.84,
159,0.99,0.8983999999999994,0.82,
160,0.99,0.8991999999999999,0.82,
161,0.99,0.9003,0.84,
162,0.99,0.9024999999999999,0.84,
163,0.99,0.9055000000000001,0.84,
164,0.99,0.9113999999999998,0.86,
165,0.99,0.9083999999999993,0.85,
166,0.99,0.9092000000000001,0.85,
167,0.99,0.9063000000000002,0.84,
168,0.99,0.9054000000000001,0.85,
169,0.99,0.9026999999999994,0.85,
170,0.99,0.8997999999999996,0.85,
171,0.99,0.8996000000000001,0.83,
172,0.99,0.9034999999999996,0.84,
173,0.99,0.9023999999999992,0.85,
174,0.99,0.8966999999999998,0.83,
175,0.99,0.8990999999999997,0.84,
176,0.99,0.9049999999999998,0.85,
177,0.99,0.9092999999999993,0.85,
178,0.99,0.9125999999999997,0.84,
179,0.99,0.9105000000000001,0.85,
180,0.99,0.9112999999999997,0.85,
181,0.99,0.9173,0.85,
182,0.99,0.9149000000000003,0.85,
183,0.99,0.9138,0.86,
184,0.99,0.9152,0.86,
185,0.99,0.9152999999999999,0.86,
186,0.99,0.9124,0.85,
187,0.99,0.9160999999999992,0.87,
188,0.99,0.9060000000000001,0.86,
189,0.99,0.9075,0.85,
190,0.99,0.9055000000000003,0.86,
191,0.99,0.9085000000000004,0.84,
192,0.99,0.9097000000000003,0.84,
193,0.99,0.9094999999999996,0.85,
194,0.99,0.9068999999999998,0.83,
195,0.99,0.9169999999999996,0.85,
196,0.99,0.9150999999999999,0.85,
197,0.99,0.9139,0.86,
198,0.99,0.9126999999999998,0.85,
199,0.99,0.9091999999999998,0.85,
200,0.99,0.9108999999999992,0.85,
201,0.99,0.9095000000000002,0.85,
202,0.99,0.9114,0.85,
203,0.99,0.9117999999999995,0.86,
204,0.99,0.9104000000000002,0.85,
205,0.99,0.9092999999999992,0.85,
206,0.99,0.9055999999999998,0.84,
207,0.99,0.9014,0.83,
208,0.99,0.9003999999999991,0.84,
209,0.99,0.9065999999999999,0.85,
210,0.99,0.9094999999999996,0.85,
211,0.99,0.9194000000000004,0.85,
212,0.99,0.9192000000000004,0.86,
213,0.99,0.9180999999999996,0.85,
214,0.99,0.9130999999999999,0.86,
215,0.99,0.9124999999999993,0.85,
216,0.99,0.9152,0.85,
217,0.99,0.9086,0.85,
218,0.99,0.9168999999999994,0.86,
219,0.99,0.9191999999999999,0.86,
220,0.99,0.9137999999999995,0.86,
221,0.99,0.9071999999999992,0.84,
222,0.99,0.9079999999999998,0.84,
223,0.99,0.9092999999999999,0.85,
224,0.99,0.9049999999999998,0.84,
225,0.99,0.9058999999999992,0.84,
226,0.99,0.9072000000000005,0.85,
227,0.99,0.9002999999999998,0.83,
228,0.99,0.8954999999999995,0.83,
229,0.99,0.8895999999999993,0.83,
230,0.99,0.8874999999999996,0.83,
231,0.99,0.8841999999999994,0.82,
232,0.99,0.8843999999999991,0.83,
233,0.99,0.8755999999999993,0.81,
234,0.99,0.8724,0.81,
235,0.99,0.8865999999999994,0.82,
236,0.99,0.8832999999999998,0.8,
237,0.99,0.8854999999999994,0.8,
238,0.99,0.8915999999999993,0.81,
239,0.99,0.8972999999999999,0.82,
240,0.99,0.9033999999999999,0.81,
241,0.99,0.9033999999999999,0.83,
242,0.99,0.9105999999999999,0.83,
243,0.99,0.9135999999999999,0.84,
244,0.99,0.9070999999999995,0.83,
245,0.99,0.9071999999999995,0.85,
246,0.99,0.9135999999999997,0.84,
247,0.99,0.9142999999999999,0.84,
248,0.99,0.9149999999999997,0.84,
249,0.99,0.9087999999999994,0.84,
250,0.99,0.9100999999999994,0.85,
251,0.99,0.9120999999999999,0.85,
252,0.99,0.9066999999999997,0.86,
253,0.99,0.9066999999999994,0.84,
254,0.99,0.9095000000000003,0.85,
255,0.99,0.9088999999999998,0.83,
256,0.99,0.9069000000000002,0.83,
257,0.99,0.9042999999999993,0.84,
258,0.99,0.9039000000000001,0.84,
259,0.99,0.8996,0.85,
260,0.99,0.8976999999999995,0.84,
261,0.99,0.8997000000000004,0.83,
262,0.99,0.8956999999999998,0.83,
263,0.99,0.8920999999999997,0.84,
264,0.99,0.8905000000000005,0.84,
265,0.99,0.8862999999999996,0.83,
266,0.99,0.8802000000000005,0.83,
267,0.99,0.8847999999999991,0.82,
268,0.99,0.8940999999999997,0.82,
269,0.99,0.8969999999999996,0.81,
270,0.99,0.8967999999999993,0.82,
271,0.99,0.8940999999999998,0.82,
272,0.99,0.8991999999999999,0.84,
273,0.99,0.8959999999999997,0.83,
274,0.99,0.8956999999999999,0.83,
275,0.99,0.8964999999999997,0.84,
276,0.99,0.9029999999999996,0.84,
277,0.99,0.8999000000000003,0.83,
278,0.99,0.9026999999999998,0.83,
279,0.99,0.9023,0.83,
280,0.99,0.9059999999999998,0.84,
281,0.99,0.8995000000000002,0.83,
282,0.99,0.8985999999999997,0.82,
283,0.99,0.9008999999999997,0.83,
284,0.99,0.8904999999999998,0.82,
285,0.99,0.8864999999999996,0.82,
286,0.99,0.8890999999999996,0.82,
287,0.99,0.8934999999999994,0.83,
288,0.99,0.8908999999999996,0.83,
289,1.0,0.8972999999999994,0.84,
